shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"7-TB1-mjp-1.1.H","-37.7565224762527","145.346734385468","96","8456.96202362221"
"7-TB1-mjp-1.1.H","-37.756416431937","145.346884311924","97","8474.65382963516"
"7-TB1-mjp-1.1.H","-37.7562143072782","145.347252048995","98","8514.06195062564"
"7-TB1-mjp-1.2.H","-37.7578224383321","145.312560383681","1","0"
"7-TB1-mjp-1.2.H","-37.7578118037209","145.312447111401","2","10.0498756211209"
"7-TB1-mjp-1.2.H","-37.7578367187769","145.312298977137","3","23.3915396852472"
"7-TB1-mjp-1.2.H","-37.7578806276868","145.312218519516","4","31.9938649522899"
"7-TB1-mjp-1.2.H","-37.7579789177648","145.312159528719","5","44.0769109258844"
"7-TB1-mjp-1.2.H","-37.7580868674123","145.312145723952","6","56.1185055046767"
"7-TB1-mjp-1.2.H","-37.7582229830218","145.312210739181","7","72.2739999260802"
"7-TB1-mjp-1.2.H","-37.7585166460286","145.312578664771","8","118.241379664325"
"7-TB1-mjp-1.2.H","-37.7588394482397","145.313093501435","9","176.042763730799"
"7-TB1-mjp-1.2.H","-37.7587347476676","145.313334261869","10","200.229536975694"
"7-TB1-mjp-1.2.H","-37.7585200705936","145.314076985025","11","269.871478361615"
"7-TB1-mjp-1.2.H","-37.7583795735002","145.314965589966","12","349.702550006683"
"7-TB1-mjp-1.2.H","-37.7583772918397","145.316066735476","13","446.723166372484"
"7-TB1-mjp-1.2.H","-37.7584114550268","145.316565426334","14","490.825320514884"
"7-TB1-mjp-1.2.H","-37.7584612033989","145.316893492056","15","520.253198454009"
"7-TB1-mjp-1.2.H","-37.7588722624777","145.318541503923","16","672.45372407728"
"7-TB1-mjp-1.2.H","-37.75894310041","145.319084775572","17","720.961455419819"
"7-TB1-mjp-1.2.H","-37.7589721256023","145.319856025962","18","788.990860826599"
"7-TB1-mjp-1.2.H","-37.7589450341769","145.321116663808","19","900.103416372766"
"7-TB1-mjp-1.2.H","-37.7589588940972","145.321456897861","20","930.120078412373"
"7-TB1-mjp-1.2.H","-37.7592533155929","145.324413017843","21","1192.61769744919"
"7-TB1-mjp-1.2.H","-37.7593334587106","145.324978791686","22","1243.25365305388"
"7-TB1-mjp-1.2.H","-37.7594021704664","145.325374549739","23","1278.94678964903"
"7-TB1-mjp-1.2.H","-37.7596314574922","145.32628886615","24","1363.427556691"
"7-TB1-mjp-1.2.H","-37.7598663632463","145.326964675469","25","1428.427556691"
"7-TB1-mjp-1.2.H","-37.7601364974941","145.327582936917","26","1490.60472291784"
"7-TB1-mjp-1.2.H","-37.7602970662833","145.32810150331","27","1539.6455222588"
"7-TB1-mjp-1.2.H","-37.7604405798738","145.328688566728","28","1593.76575876974"
"7-TB1-mjp-1.2.H","-37.7605869869889","145.329479900475","29","1665.35486408612"
"7-TB1-mjp-1.2.H","-37.7610701873441","145.334327651394","30","2095.81972908674"
"7-TB1-mjp-1.2.H","-37.7611573066824","145.336028487648","31","2245.98297359085"
"7-TB1-mjp-1.2.H","-37.7611606349867","145.336902512315","32","2322.98946682356"
"7-TB1-mjp-1.2.H","-37.7611388922307","145.337277613145","33","2356.12554987512"
